statuses_count,col
101000,insider.foxnews.com/2018/02/06/kil…
21339,twitter.com/supreme_riem/s…
11328,twitter.com/espn/status/96…
616,twitter.com/oidlsways/stat…
11369,twitter.com/i/web/status/9…
1035,twitter.com/i/web/status/9…
2246,twitter.com/michaelb4jorda…
17438,twitter.com/i/web/status/9…
60742,twitter.com/i/web/status/9…
22423,twitter.com/i/web/status/9…
21909,twitter.com/i/web/status/9…
168178,nydailynews.com/news/national/…
1094,twitter.com/i/web/status/9…
933,twitter.com/i/web/status/9…
4580,goo.gl/fb/DHy3uY
2924,twitter.com/supreme_riem/s…
21526,eonli.ne/2FkDv3c
18140,twitter.com/i/web/status/9…
2690,twitter.com/wdw_cassie/sta…
2690,twitter.com/wdw_cassie/sta…
2690,twitter.com/wdw_cassie/sta…
2942,twitter.com/i/web/status/9…
499,instagram.com/p/BfhY16RDmqn/
44038,twitter.com/selfcritics/st…
1973,twitter.com/i/web/status/9…
13792,twitter.com/i/web/status/9…
